"","latitud","longitud","taxon.name"
"229",41.3844716667,2.127395,"Dichondra micrantha"
"230",41.38413,2.1274616667,"Dichondra micrantha"
"231",41.3836366667,2.127525,"Dichondra micrantha"
"236",41.38271,2.1281233333,"Dichondra micrantha"
"241",41.380945,2.129015,"Dichondra micrantha"
"244",41.3811416667,2.1292366667,"Dichondra micrantha"
"245",41.3772533333,2.12958,"Dichondra micrantha"
"247",41.37895,2.1296666667,"Dichondra micrantha"
"250",41.3762833333,2.130285,"Dichondra micrantha"
"251",41.3895083333,2.129805,"Dichondra micrantha"
"265",41.3902233333,2.1308883333,"Dichondra micrantha"
"273",41.3888866667,2.131685,"Dichondra micrantha"
"295",41.3650316667,2.1354616667,"Dichondra micrantha"
"296",41.36495,2.13548,"Dichondra micrantha"
"298",41.3903416667,2.1341766667,"Dichondra micrantha"
"299",41.3653433333,2.1355516667,"Dichondra micrantha"
"302",41.3904943854,2.1346277514,"Dichondra micrantha"
"322",41.3909099448,2.1360163974,"Dichondra micrantha"
"337",41.3911104868,2.1381723308,"Dichondra micrantha"
"420",41.3926,2.1426016667,"Dichondra micrantha"
"424",41.3926295138,2.1433742381,"Dichondra micrantha"
"427",41.3926466824,2.1440260103,"Dichondra micrantha"
"428",41.3933133333,2.143995,"Dichondra micrantha"
"691",41.3958150646,2.1562736071,"Dichondra micrantha"
"719",41.3968338756,2.160195571,"Dichondra micrantha"
"720",41.3966008,2.1602774,"Dichondra micrantha"
"722",41.3969133333,2.1607616667,"Dichondra micrantha"
"723",41.3968474894,2.1608220996,"Dichondra micrantha"
"727",41.39682,2.1610916667,"Dichondra micrantha"
"729",41.3970934376,2.1618705515,"Dichondra micrantha"
"731",41.3971388366,2.1623660799,"Dichondra micrantha"
"740",41.39744,2.1634166667,"Dichondra micrantha"
"743",41.3976750236,2.1634913418,"Dichondra micrantha"
"745",41.3977816667,2.1635416667,"Dichondra micrantha"
"748",41.397555,2.1638816667,"Dichondra micrantha"
"749",41.4043883333,2.163575,"Dichondra micrantha"
"751",41.3975083333,2.1640416667,"Dichondra micrantha"
"753",41.4039416667,2.1638466667,"Dichondra micrantha"
"756",41.3975983333,2.164305,"Dichondra micrantha"
"774",41.398015,2.1652166667,"Dichondra micrantha"
"775",41.3981041237,2.1652545069,"Dichondra micrantha"
"779",41.3979516667,2.1654883333,"Dichondra micrantha"
"782",41.3982233333,2.1657616667,"Dichondra micrantha"
"794",41.4015833333,2.16706,"Dichondra micrantha"
"795",41.4012516667,2.1671566667,"Dichondra micrantha"
"804",41.3986210914,2.1677054494,"Dichondra micrantha"
"809",41.4007016667,2.1678866667,"Dichondra micrantha"
"815",41.3988933333,2.1685666667,"Dichondra micrantha"
"816",41.3987376665,2.1686097597,"Dichondra micrantha"
"818",41.40048,2.168625,"Dichondra micrantha"
"820",41.399038984,2.1689799874,"Dichondra micrantha"
"826",41.3994130667,2.1705057331,"Dichondra micrantha"
"829",41.3992233333,2.17109,"Dichondra micrantha"
"830",41.3981064,2.1714462,"Dichondra micrantha"
