"","taxon.name","cartodb_id","comarca","provincia","nom_comar","sup_comar","geometry"
"121","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.113825, 41.384285)
"122","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1138366667, 41.3843)
"123","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1138783333, 41.3844166667)
"124","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1154354513, 41.3565420745)
"125","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.11403, 41.3842266667)
"126","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.113675, 41.398445)
"127","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.11475, 41.3853583333)
"128","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1150683333, 41.3856033333)
"129","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.11524, 41.38562)
"130","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1152966667, 41.385615)
"131","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1154233333, 41.385645)
"132","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.11544, 41.385655)
"133","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1156333333, 41.38397)
"134","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1156366667, 41.3859066667)
"135","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.11572, 41.3860216667)
"136","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1157616667, 41.3852766667)
"137","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1157283333, 41.3859383333)
"138","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.115785, 41.3855133333)
"139","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1159116667, 41.3855883333)
"140","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1159133333, 41.3858466667)
"141","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1160133333, 41.3851516667)
"142","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1160516667, 41.385085)
"143","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1160866667, 41.3851783333)
"144","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1161083333, 41.385825)
"145","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1162416667, 41.3855066667)
"146","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1162916667, 41.3850666667)
"147","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.11636, 41.38531)
"148","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.116385, 41.3852566667)
"149","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1175543964, 41.3684662581)
"150","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1180754868, 41.3676267589)
